Road ID,Length (km),Numberof_Bends,Trafficvolume,AccidentRisk
1,5.2,12,500,High
2,10,8,300,Medium
3,3.6,15,200,High
4,6.1,5,1000,Low
5,9.4,10,1200,Medium
6,12,3,700,Low
7,7.2,7,600,Medium
8,4.8,18,150,High
9,11,6,900,Low
10,2.5,20,450,High
11,8.3,9,400,Medium
12,15,4,950,Low
13,5.6,16,500,High
14,9.8,5,1100,Low
15,11.5,7,750,Medium
16,4,12,600,High
17,3.2,20,250,High
18,10.6,6,850,Low
19,7,14,550,Medium
20,8.5,3,950,Low
21,6.7,18,150,High
22,9.2,8,1200,Medium
23,12.5,5,900,Low
24,4.4,19,500,High
25,13.8,3,1000,Low
26,7.9,9,600,Medium
27,3.7,17,200,High
28,10.9,4,800,Low
29,8.6,6,900,Medium
30,5.5,15,550,High
31,6,14,500,High
32,4.3,18,450,High
33,7.1,7,650,Medium
34,9,5,1050,Low
35,5.1,13,700,High
36,8.2,6,1000,Medium
37,10.4,5,900,Low
38,7.5,8,600,Medium
39,6.3,14,500,High
40,12.3,6,850,Low
41,4.9,17,150,High
42,11.7,3,950,Low
43,8.8,9,700,Medium
44,5.7,13,600,High
45,6.9,11,300,Medium
46,9.5,7,800,Low
47,12.7,4,1000,Low
48,7.3,12,400,Medium
49,5.9,16,550,High
50,11.2,5,1100,Low
